Voltage (V),Frequency (Hz),Height (mm),Height-Diameter Ratio,Mass (kg),Movement
240,138,90,0.05,50,1
230,154,63.5,0.87,90,1
240,154,50,0.13,120,0
150,174,85,0.08,80,0
120,73,85,0.08,130,1
160,162,85,0.08,140,0
160,154,37.5,1.47,100,0
150,158,63.5,0.87,90,0
170,170,85,0.08,90,1
240,166,30,0.33,100,0
190,100,139,0.4,90,1
160,100,20,0.16,90,1
140,170,30,0.33,120,1
140,100,20,0.16,120,1
120,146,50,0.13,130,0
190,170,50,0.13,100,1
130,114,90,0.05,80,0
230,120,63.5,0.87,100,1
110,110,37.5,1.47,140,0
200,130,45,0.18,130,0
150,122,37.5,1.47,110,0
230,166,45,0.18,130,0
190,110,139,0.4,90,1
180,137,63.5,0.87,100,0
190,138,37.5,1.47,120,0
170,174,37.5,1.47,120,0
150,70,101,0.54,130,1
120,174,37.5,1.47,100,0
200,146,85,0.08,130,0
200,126,37.5,1.47,140,1
250,154,90,0.05,80,0
190,123,63.5,0.87,100,1
200,110,63.5,0.87,130,1
190,166,50,0.13,100,1
240,122,45,0.18,90,1
200,150,30,0.33,110,0
220,110,50,0.13,130,1
120,130,85,0.08,150,1
180,138,110,0.06,110,0
200,100,115,0.07,60,1
250,170,85,0.08,100,1
170,158,90,0.05,130,0
150,174,101,0.54,140,0
210,166,50,0.13,130,0
170,174,63.5,0.87,140,0
180,174,37.5,1.47,100,0
170,142,20,0.16,80,0
130,90,139,0.4,130,1
200,126,63.5,0.87,110,1
210,126,90,0.05,130,0
210,107,63.5,0.87,150,0
160,146,45,0.18,100,0
200,107.4,50,0.13,150,1
140,130,37.5,1.47,150,0
180,138,90,0.05,90,0
150,166,30,0.33,130,0
230,107,63.5,0.87,150,1
150,166,30,0.33,110,0
170,162,20,0.16,80,1
180,142,90,0.05,90,1
160,146,37.5,1.47,110,0
210,101,45,0.18,130,1
220,114,110,0.06,130,1
190,154,63.5,0.87,140,0
240,118,85,0.08,130,1
250,130,30,0.33,120,1
180,111,50,0.13,130,1
120,113,115,0.07,130,0
250,154,20,0.16,120,0
200,166,50,0.13,150,1
160,134,115,0.07,70,0
150,170,85,0.08,110,0
130,110,30,0.33,130,1
240,110,63.5,0.87,140,1
120,118,45,0.18,130,0
120,174,50,0.13,140,0
220,111,50,0.13,130,1
160,150,30,0.33,140,0
250,150,50,0.13,40,1
130,174,63.5,0.87,140,0
120,138,30,0.33,140,0
120,122,85,0.08,150,0
160,166,50,0.13,140,0
160,101,139,0.4,130,1
150,126,115,0.07,150,0
230,130,20,0.16,60,0
240,170,115,0.07,130,0
250,174,90,0.05,150,0
200,117,85,0.08,120,1
210,158,37.5,1.47,120,0
240,170,85,0.08,130,1
200,110,37.5,1.47,120,1
240,126,30,0.33,150,1
140,110,85,0.08,120,0
190,146,37.5,1.47,120,0
190,166,115,0.07,150,0
230,120,110,0.06,110,1
150,114,85,0.08,130,0
240,118,85,0.08,140,1
140,115,115,0.07,150,0
170,122,85,0.08,140,1
120,81,85,0.08,150,0
200,130,63.5,0.87,130,0
110,94,139,0.4,140,1
120,174,110,0.06,130,0
230,112,50,0.13,140,1
160,98,37.5,1.47,130,1
130,150,85,0.08,150,0
120,134,63.5,0.87,150,0
190,109,20,0.16,130,1
220,154,85,0.08,150,0
200,170,90,0.05,100,0
170,114,45,0.18,50,1
150,122,63.5,0.87,150,0
130,118,110,0.06,130,1
160,174,110,0.06,130,0
190,110,50,0.13,150,1
240,114,45,0.18,130,1
130,114,50,0.13,140,1
240,105,37.5,1.47,130,1
110,122,90,0.05,150,0
220,166,37.5,1.47,140,0
240,122,37.5,1.47,140,1
210,158,115,0.07,150,0
130,142,85,0.08,140,0
160,158,37.5,1.47,140,0
230,170,90,0.05,120,0
240,120,45,0.18,110,1
230,108,90,0.05,140,1
250,140,50,0.13,40,1
220,166,115,0.07,130,1
200,146,110,0.06,140,1
160,109,139,0.4,150,1
230,154,63.5,0.87,140,0
120,122,85,0.08,150,0
110,114,30,0.33,150,0
250,122,20,0.16,50,0
250,142,45,0.18,140,1
150,166,110,0.06,150,1
110,170,50,0.13,150,0
170,154,45,0.18,150,0
130,130,50,0.13,150,0
180,158,90,0.05,150,0
210,112,139,0.4,150,1
220,122,37.5,1.47,150,1
240,110,20,0.16,50,1
130,126,30,0.33,140,0
140,170,90,0.05,120,0
130,162,30,0.33,150,0
250,121,85,0.08,150,1
180,96,90,0.05,140,1
160,118,50,0.13,150,0
150,154,30,0.33,150,0
250,122.6,45,0.18,110,1
